,0
131,1168387.0111123705
132,1176737.940027012
133,1213391.7488037338
134,1230668.5824431784
135,1235569.6691513811
136,1264934.1104915724
137,1277281.4279453012
138,1288449.7977921327
139,1333018.1212065534
140,1337100.5365935178
141,1340858.787769255
142,1339324.6872259441
143,1326991.748597949
144,1349008.5505301205
145,1343058.6556986372
146,1374387.8350280097
147,1383679.899284328
148,1377921.2742721485
149,1380349.773574239
150,1397932.3539872887
151,1379976.3315009912
152,1370830.8488972085
153,1386196.7344426343
154,1393624.9432359065
155,1370941.4115260823
156,1333614.9791090144
157,1350818.4460800462
158,1360173.7126570484
159,1368860.0238821208
160,1403423.1640165863
161,1396457.97860514
162,1398833.1357255892
163,1396449.2440673576
164,1396321.9926334664
165,1401362.5657580607
166,1386825.4989912708
167,1353966.0403814882
168,1350410.5495672517
169,1360103.2958883941
170,1380520.7418739623
171,1393057.535675697
172,1411748.476238243
173,1436796.623772576
174,1432946.2581120955
175,1445863.397262861
176,1461100.0885643822
177,1479664.7505937025
178,1481469.1102199587
179,1485587.8812875084
180,1473578.587335828
181,1486949.1707882439
182,1469298.4355683448
183,1458545.07027454
184,1445815.1967444543
185,1476140.1290778911
186,1462817.3431001066
187,1454396.6301453314
188,1423642.1632114854
189,1409350.4763974533
190,1433996.8109253536
191,1453115.858603945
192,1452397.3322230591
193,1474920.1165155298
194,1483876.9640426124
195,1484555.7605918222
196,1482100.955586602
197,1513029.7712630988
198,1518273.8215544107
199,1509403.0998639958
200,1533296.3833030693
201,1526949.3882764739
202,1507792.5230716295
203,1538123.9795370607
204,1510040.153474241
205,1495762.1364173482
206,1486844.3067159331
207,1456036.3598879096
208,1493169.493533797
209,1444168.614414909
210,1453766.867149042
211,1455622.7986162873
212,1461074.2164069747
213,1499503.5178362164
214,1497762.7673450736
215,1537952.3419637885
216,1542595.470545538
217,1555524.9887628986
218,1556374.8147758257
219,1572997.4460123116
220,1591390.1747583586
221,1595731.2982053584
222,1587257.630899019
223,1566126.8080694366
224,1560597.0483776182
225,1576645.6095915295
226,1572523.8781233819
227,1588102.2236205009
228,1559921.1734979185
229,1564554.0555689936
230,1590976.5156065244
231,1591879.0487785747
232,1566653.79818373
233,1574688.560951342
234,1575780.1232178342
235,1553702.9111372363
236,1567026.0363719512
237,1575634.7576107446
238,1585466.5354216031
239,1604363.1718052826
240,1602054.8325920014
241,1606047.4873466648
242,1581804.2129731013
243,1584306.173638044
244,1601911.7613732826
245,1607748.8680556812
246,1618412.3296218945
247,1623952.877136304
248,1630236.8689565966
249,1638086.0236621406
250,1632194.2452447726
251,1612678.8906534845
252,1640390.3190506776
253,1649984.9925541445
254,1653878.2663630378
255,1658489.1316924556
256,1664881.4521457604
257,1660947.5626763406
258,1648796.9570921205
259,1658566.3320069953
260,1656685.4737984417
261,1638360.3745108151
262,1668199.614234992
263,1657647.2263394375
264,1610428.4513865632
